date;site;species;subject_site;age;cup_distance;task_experience;board_size;test_situation;session;block;trial;condition;hiding_location;pick;secondary_pick;correct;researcher;comment
20180418;sweetwaters;chimpanzees;niyonkuru_swe;28;20;yes;80;single;1;1;1;long;1;2;;0;esther_lou;
20180418;sweetwaters;chimpanzees;niyonkuru_swe;28;20;yes;80;single;1;1;2;long;2;2;;1;esther_lou;
20180418;sweetwaters;chimpanzees;niyonkuru_swe;28;20;yes;80;single;1;1;3;long;3;3;;1;esther_lou;
20180418;sweetwaters;chimpanzees;niyonkuru_swe;28;20;yes;80;single;1;1;4;long;2;2;;1;esther_lou;
20180418;sweetwaters;chimpanzees;niyonkuru_swe;28;20;yes;80;single;1;1;5;long;3;3;;1;esther_lou;
20180418;sweetwaters;chimpanzees;niyonkuru_swe;28;20;yes;80;single;1;1;6;long;1;2;;0;esther_lou;
20180418;sweetwaters;chimpanzees;niyonkuru_swe;28;20;yes;80;single;1;2;7;short;2;2;;1;esther_lou;
20180418;sweetwaters;chimpanzees;niyonkuru_swe;28;20;yes;80;single;1;2;8;short;3;3;;1;esther_lou;
20180418;sweetwaters;chimpanzees;niyonkuru_swe;28;20;yes;80;single;1;2;9;short;3;3;;1;esther_lou;
20180418;sweetwaters;chimpanzees;niyonkuru_swe;28;20;yes;80;single;1;2;10;short;1;1;;1;esther_lou;
20180418;sweetwaters;chimpanzees;niyonkuru_swe;28;20;yes;80;single;1;2;11;short;2;2;;1;esther_lou;
20180418;sweetwaters;chimpanzees;niyonkuru_swe;28;20;yes;80;single;1;2;12;short;1;1;;1;esther_lou;
20180418;sweetwaters;chimpanzees;niyonkuru_swe;28;20;yes;80;single;1;3;13;medium;3;3;;1;esther_lou;
20180418;sweetwaters;chimpanzees;niyonkuru_swe;28;20;yes;80;single;1;3;14;medium;1;1;;1;esther_lou;
20180418;sweetwaters;chimpanzees;niyonkuru_swe;28;20;yes;80;single;1;3;15;medium;2;2;;1;esther_lou;
20180418;sweetwaters;chimpanzees;niyonkuru_swe;28;20;yes;80;single;1;3;16;medium;2;2;;1;esther_lou;
20180418;sweetwaters;chimpanzees;niyonkuru_swe;28;20;yes;80;single;1;3;17;medium;1;1;;1;esther_lou;
20180418;sweetwaters;chimpanzees;niyonkuru_swe;28;20;yes;80;single;1;3;18;medium;3;3;;1;esther_lou;
20180422;sweetwaters;chimpanzees;niyonkuru_swe;28;20;yes;80;single;2;1;19;medium;2;2;;1;esther_lou;
20180422;sweetwaters;chimpanzees;niyonkuru_swe;28;20;yes;80;single;2;1;20;medium;3;3;;1;esther_lou;
20180422;sweetwaters;chimpanzees;niyonkuru_swe;28;20;yes;80;single;2;1;21;medium;1;1;;1;esther_lou;
20180422;sweetwaters;chimpanzees;niyonkuru_swe;28;20;yes;80;single;2;1;22;medium;1;1;;1;esther_lou;
20180422;sweetwaters;chimpanzees;niyonkuru_swe;28;20;yes;80;single;2;1;23;medium;2;2;;1;esther_lou;
20180422;sweetwaters;chimpanzees;niyonkuru_swe;28;20;yes;80;single;2;1;24;medium;3;3;;1;esther_lou;
20180422;sweetwaters;chimpanzees;niyonkuru_swe;28;20;yes;80;single;2;2;25;long;3;3;;1;esther_lou;
20180422;sweetwaters;chimpanzees;niyonkuru_swe;28;20;yes;80;single;2;2;26;long;1;1;;1;esther_lou;
20180422;sweetwaters;chimpanzees;niyonkuru_swe;28;20;yes;80;single;2;2;27;long;2;2;;1;esther_lou;
20180422;sweetwaters;chimpanzees;niyonkuru_swe;28;20;yes;80;single;2;2;28;long;2;2;;1;esther_lou;
20180422;sweetwaters;chimpanzees;niyonkuru_swe;28;20;yes;80;single;2;2;29;long;1;3;;0;esther_lou;
20180422;sweetwaters;chimpanzees;niyonkuru_swe;28;20;yes;80;single;2;2;30;long;3;3;;1;esther_lou;
20180422;sweetwaters;chimpanzees;niyonkuru_swe;28;20;yes;80;single;2;3;31;short;1;1;;1;esther_lou;
20180422;sweetwaters;chimpanzees;niyonkuru_swe;28;20;yes;80;single;2;3;32;short;1;1;;1;esther_lou;
20180422;sweetwaters;chimpanzees;niyonkuru_swe;28;20;yes;80;single;2;3;33;short;3;3;;1;esther_lou;
20180422;sweetwaters;chimpanzees;niyonkuru_swe;28;20;yes;80;single;2;3;34;short;2;2;;1;esther_lou;
20180422;sweetwaters;chimpanzees;niyonkuru_swe;28;20;yes;80;single;2;3;35;short;2;2;;1;esther_lou;
20180422;sweetwaters;chimpanzees;niyonkuru_swe;28;20;yes;80;single;2;3;36;short;3;3;;1;esther_lou;
20180418;sweetwaters;chimpanzees;uruhara_swe;29;20;yes;80;single;1;1;1;long;1;1;;1;esther_lou;
20180418;sweetwaters;chimpanzees;uruhara_swe;29;20;yes;80;single;1;1;2;long;3;3;;1;esther_lou;
20180418;sweetwaters;chimpanzees;uruhara_swe;29;20;yes;80;single;1;1;3;long;2;2;;1;esther_lou;
20180418;sweetwaters;chimpanzees;uruhara_swe;29;20;yes;80;single;1;1;4;long;3;3;;1;esther_lou;
20180418;sweetwaters;chimpanzees;uruhara_swe;29;20;yes;80;single;1;1;5;long;1;1;;1;esther_lou;
20180418;sweetwaters;chimpanzees;uruhara_swe;29;20;yes;80;single;1;1;6;long;2;3;;0;esther_lou;
20180418;sweetwaters;chimpanzees;uruhara_swe;29;20;yes;80;single;1;2;7;medium;3;3;;1;esther_lou;
20180418;sweetwaters;chimpanzees;uruhara_swe;29;20;yes;80;single;1;2;8;medium;3;3;;1;esther_lou;
20180418;sweetwaters;chimpanzees;uruhara_swe;29;20;yes;80;single;1;2;9;medium;2;2;;1;esther_lou;
20180418;sweetwaters;chimpanzees;uruhara_swe;29;20;yes;80;single;1;2;10;medium;1;1;;1;esther_lou;
20180418;sweetwaters;chimpanzees;uruhara_swe;29;20;yes;80;single;1;2;11;medium;1;1;;1;esther_lou;
20180418;sweetwaters;chimpanzees;uruhara_swe;29;20;yes;80;single;1;2;12;medium;2;2;;1;esther_lou;
20180418;sweetwaters;chimpanzees;uruhara_swe;29;20;yes;80;single;1;3;13;short;2;2;;1;esther_lou;
20180418;sweetwaters;chimpanzees;uruhara_swe;29;20;yes;80;single;1;3;14;short;1;1;;1;esther_lou;
20180418;sweetwaters;chimpanzees;uruhara_swe;29;20;yes;80;single;1;3;15;short;3;3;;1;esther_lou;
20180418;sweetwaters;chimpanzees;uruhara_swe;29;20;yes;80;single;1;3;16;short;3;3;;1;esther_lou;
20180418;sweetwaters;chimpanzees;uruhara_swe;29;20;yes;80;single;1;3;17;short;2;2;;1;esther_lou;
20180418;sweetwaters;chimpanzees;uruhara_swe;29;20;yes;80;single;1;3;18;short;1;1;;1;esther_lou;
20180422;sweetwaters;chimpanzees;uruhara_swe;29;20;yes;80;single;2;1;19;short;2;3;;0;esther_lou;
20180422;sweetwaters;chimpanzees;uruhara_swe;29;20;yes;80;single;2;1;20;short;3;3;;1;esther_lou;
20180422;sweetwaters;chimpanzees;uruhara_swe;29;20;yes;80;single;2;1;21;short;1;1;;1;esther_lou;
20180422;sweetwaters;chimpanzees;uruhara_swe;29;20;yes;80;single;2;1;22;short;1;1;;1;esther_lou;
20180422;sweetwaters;chimpanzees;uruhara_swe;29;20;yes;80;single;2;1;23;short;2;2;;1;esther_lou;
20180422;sweetwaters;chimpanzees;uruhara_swe;29;20;yes;80;single;2;1;24;short;3;3;;1;esther_lou;
20180422;sweetwaters;chimpanzees;uruhara_swe;29;20;yes;80;single;2;2;25;medium;1;1;;1;esther_lou;
20180422;sweetwaters;chimpanzees;uruhara_swe;29;20;yes;80;single;2;2;26;medium;1;1;;1;esther_lou;
20180422;sweetwaters;chimpanzees;uruhara_swe;29;20;yes;80;single;2;2;27;medium;3;3;;1;esther_lou;
20180422;sweetwaters;chimpanzees;uruhara_swe;29;20;yes;80;single;2;2;28;medium;2;2;;1;esther_lou;
20180422;sweetwaters;chimpanzees;uruhara_swe;29;20;yes;80;single;2;2;29;medium;2;2;;1;esther_lou;
20180422;sweetwaters;chimpanzees;uruhara_swe;29;20;yes;80;single;2;2;30;medium;3;3;;1;esther_lou;
20180422;sweetwaters;chimpanzees;uruhara_swe;29;20;yes;80;single;2;3;31;long;3;3;;1;esther_lou;
20180422;sweetwaters;chimpanzees;uruhara_swe;29;20;yes;80;single;2;3;32;long;1;1;;1;esther_lou;
20180422;sweetwaters;chimpanzees;uruhara_swe;29;20;yes;80;single;2;3;33;long;1;1;;1;esther_lou;
20180422;sweetwaters;chimpanzees;uruhara_swe;29;20;yes;80;single;2;3;34;long;2;2;;1;esther_lou;
20180422;sweetwaters;chimpanzees;uruhara_swe;29;20;yes;80;single;2;3;35;long;3;3;;1;esther_lou;
20180422;sweetwaters;chimpanzees;uruhara_swe;29;20;yes;80;single;2;3;36;long;2;3;;0;esther_lou;
20180418;sweetwaters;chimpanzees;kisa_swe;25;20;yes;80;single;1;1;1;medium;2;2;;1;esther_lou;
20180418;sweetwaters;chimpanzees;kisa_swe;25;20;yes;80;single;1;1;2;medium;3;3;;1;esther_lou;
20180418;sweetwaters;chimpanzees;kisa_swe;25;20;yes;80;single;1;1;3;medium;1;1;;1;esther_lou;
20180418;sweetwaters;chimpanzees;kisa_swe;25;20;yes;80;single;1;1;4;medium;1;2;;0;esther_lou;
20180418;sweetwaters;chimpanzees;kisa_swe;25;20;yes;80;single;1;1;5;medium;2;3;;0;esther_lou;
20180418;sweetwaters;chimpanzees;kisa_swe;25;20;yes;80;single;1;1;6;medium;3;3;;1;esther_lou;
20180418;sweetwaters;chimpanzees;kisa_swe;25;20;yes;80;single;1;2;7;long;1;1;;1;esther_lou;
20180418;sweetwaters;chimpanzees;kisa_swe;25;20;yes;80;single;1;2;8;long;1;1;;1;esther_lou;
20180418;sweetwaters;chimpanzees;kisa_swe;25;20;yes;80;single;1;2;9;long;3;3;;1;esther_lou;
